eq_class,members,representative,model,chains,molecule,nts
35542.118,654,5L4O,1,A,Solo RNA,71
65795.74,600,4LFB,1,A,Protein-RNA Complex,1498
83717.122,491,5J7L,1,DA,Protein-RNA Complex,2883
97519.67,472,7RQB,1,1A,Protein-RNA Complex,2861
42622.67,472,7RQB,1,1B,Protein-RNA Complex,120
10157.120,465,5J7L,1,DB,Protein-RNA Complex,120
56726.107,454,5J7L,1,AA,Protein-RNA Complex,1523
19951.67,376,4YCO,1,D,Protein-RNA Complex,74
90506.62,212,5TBW,1,1+4,Protein-RNA Complex,3307
18586.58,191,5TBW,1,AS,Protein-RNA Complex,121
03510.53,185,4V88,1,A6,Protein-RNA Complex,1796
04268.1,120,4V99,1,C2,Protein-RNA Complex,17
20373.1,98,7M57,1,7,Protein-RNA Complex,11
17996.6,93,4J7L,1,B,Protein-RNA Complex,5
21280.29,92,4KZY,1,i,Protein-RNA Complex,1840
46995.30,90,5VYC,1,i2,Protein-RNA Complex,1742
65061.21,85,8GLP,1,L5+L8,Protein-RNA Complex,3570
10255.33,76,7O7Y,1,B7,Protein-RNA Complex,119
06650.33,76,7O7Y,1,B5+B8,Protein-RNA Complex,3793
52752.19,71,8GLP,1,L7,Protein-RNA Complex,120
26150.2,66,4V9F,1,0,Protein-RNA Complex,2803
15912.1,64,8AMI,1,B+A,Solo RNA,19
25303.2,64,4V9F,1,9,Protein-RNA Complex,122
16664.1,60,6YFT,1,RR,Protein-RNA Complex,20
12763.27,58,7QI4,1,A,Protein-RNA Complex,1553
08576.3,56,6DO8,1,b,Protein-RNA Complex,2
73428.21,54,7QI4,1,B,Protein-RNA Complex,69
23205.3,54,6DO8,1,B,Protein-RNA Complex,4
98428.3,54,6N6I,1,C,Protein-RNA Complex,2
83593.3,51,5AXM,1,P,Protein-RNA Complex,72
94729.10,50,4NLF,1,A,Solo RNA,27
88987.9,47,7A0S,1,X,Protein-RNA Complex,2699
74924.21,46,3PEY,1,B,Protein-RNA Complex,5
69813.10,44,6OF1,1,1w,Protein-RNA Complex,67
20721.9,44,5E81,1,2K,Protein-RNA Complex,72
99059.1,43,7P6Z,1,7,Protein-RNA Complex,76
93855.16,42,7QI4,1,AA,Protein-RNA Complex,949
64918.15,42,7SOS,1,B,Protein-RNA Complex,4
71199.4,41,5Z1I,1,A,Solo RNA,21
65223.7,40,6Q1H,1,D,Protein-RNA Complex,3
21736.6,40,6D30,1,C,Protein-RNA Complex,2
90633.21,37,4WF9,1,X,Protein-RNA Complex,2712
51266.3,36,2C4Q,1,R,Protein-RNA Complex,16
76703.9,35,5E81,1,1K,Protein-RNA Complex,67
98371.1,32,8DH1,1,G,Protein-RNA Complex,8
24132.2,32,4NIA,1,c,Protein-RNA Complex,10
64079.1,32,7MQF,1,B,Protein-RNA Complex,2
89429.5,32,4FEN,1,B,Solo RNA,67
73286.18,31,8C6J,1,5,Protein-RNA Complex,113
82548.1,30,4V4R,1,AV,Protein-RNA Complex,76
35054.4,30,3IGI,1,A,Solo RNA,388
06181.1,30,7P6Z,1,3,Protein-RNA Complex,2879
76251.1,30,7P6Z,1,4,Protein-RNA Complex,105
94467.7,30,6VQV,1,L,Protein-RNA Complex,60
89292.5,29,4WQ1,1,3K,Protein-RNA Complex,67
69141.3,29,7YGA,1,N,Solo RNA,393
83891.20,29,4WF9,1,Y,Protein-RNA Complex,114
01186.1,28,7P6Z,1,5,Protein-RNA Complex,1493
82632.1,28,6YML,1,A,Solo RNA,25
31819.5,27,1QTQ,1,B,Protein-RNA Complex,74
41610.16,27,8BUU,1,A,Protein-RNA Complex,2850
17405.9,27,7A0S,1,Y,Protein-RNA Complex,122
84517.1,25,5FJC,1,A,Solo RNA,96
67746.1,25,6RLP,1,R,Protein-RNA Complex,3
68467.11,25,8P2K,1,AT,Protein-RNA Complex,74
43481.4,24,7UW1,1,a,Protein-RNA Complex,1519
08692.3,24,3G9C,1,Q,Protein-RNA Complex,140
42241.3,24,7TZS,1,X,Solo RNA,78
12406.3,23,7SYQ,1,z,Protein-RNA Complex,264
47419.1,22,7M2V,1,S+h,Protein-RNA Complex,20
89906.2,22,3WFS,1,A,Protein-RNA Complex,74
29423.1,22,4V4F,1,B6,Protein-RNA Complex,3
39627.4,22,2R8S,1,R,Protein-RNA Complex,159
97435.12,22,6TPQ,1,V,Protein-RNA Complex,123
66387.1,22,3OK4,1,N,Protein-RNA Complex,10
41012.1,22,6RR7,1,D+E,Protein-RNA Complex,25
18489.9,21,7OHQ,1,6,Protein-RNA Complex,65
88157.3,21,4CS1,1,A,Solo RNA,19
34359.8,21,2NVQ,1,R,Protein-RNA Complex,10
53003.1,21,6N6C,1,D,Protein-RNA Complex,2
11709.1,21,3ZGZ,1,B,Protein-RNA Complex,79
14145.1,20,4WRT,1,V+R,Protein-RNA Complex,29
20965.1,20,4ZT0,1,D,Protein-RNA Complex,72
71188.2,20,5TDJ,1,A,Solo RNA,10
96169.3,20,7UVZ,1,A,Protein-RNA Complex,2715
01949.5,20,5UED,1,A+B,Solo RNA,22
60167.4,20,3C3Z,1,A+B,Solo RNA,44
67384.3,20,7UW1,1,B,Protein-RNA Complex,115
73187.1,20,2WJ8,1,d,Protein-RNA Complex,7
37403.4,19,8SYI,1,R,Protein-RNA Complex,17
98705.4,19,2P7E,1,D+C+P,Solo RNA,44
74023.9,19,6S0X,1,a,Protein-RNA Complex,1539
52189.1,18,8OZI,1,I,Protein-RNA Complex,18
66108.1,18,2DRA,1,B,Protein-RNA Complex,34
67726.2,18,5F9F,1,F,Protein-RNA Complex,24
96269.13,18,4KZZ,1,j,Protein-RNA Complex,75
86909.1,18,7A9N,1,K+L,Solo RNA,16
73426.6,18,7EVO,1,H,Protein-RNA Complex,148
96683.5,18,5Z4J,1,B,Protein-RNA Complex,4
51111.1,18,4NIA,1,o,Protein-RNA Complex,10
09128.1,18,1XPU,1,G,Protein-RNA Complex,2
32185.1,18,3OXE,1,A,Solo RNA,86
51503.1,18,4X4N,1,D,Protein-RNA Complex,31
41742.5,17,8FR8,1,B,Protein-RNA Complex,118
82140.1,17,1MDG,1,A,Solo RNA,5
09880.4,17,2G8I,1,B,Protein-RNA Complex,6
73216.5,17,4WSM,1,1K,Protein-RNA Complex,83
56101.4,17,7ZP8,1,v,Protein-RNA Complex,76
53472.1,17,4DR7,1,b,Protein-RNA Complex,3
71916.1,17,7M57,1,W,Protein-RNA Complex,10
78706.1,17,1ZCI,1,A+B,Solo RNA,44
80196.1,16,7MQD,1,B,Protein-RNA Complex,2
96870.1,16,7ST2,1,5,Protein-RNA Complex,77
97539.2,16,7KGB,1,a,Protein-RNA Complex,1511
30457.14,16,7DCO,1,B,Protein-RNA Complex,179
53745.1,16,7ZW0,1,sl,Protein-RNA Complex,76
95556.5,16,4V90,1,AV,Protein-RNA Complex,76
45930.3,16,6CAP,1,W+Y,Protein-RNA Complex,21
99121.1,16,5FQ5,1,A,Protein-RNA Complex,81
06497.1,15,8FKW,1,L2,Protein-RNA Complex,69
60049.4,15,3CD6,1,4,Protein-RNA Complex,2
80025.2,15,7A5J,1,G,Protein-RNA Complex,73
87665.1,15,5D8T,1,A+B,Solo RNA,12
66687.6,14,7P7Q,1,a,Protein-RNA Complex,1519
07733.2,14,5EL4,1,3L,Protein-RNA Complex,73
48165.1,14,8D28,1,B,Solo RNA,33
21756.2,14,8GNA,1,C+J,Protein-RNA Complex,49
27023.1,14,3LQX,1,B,Protein-RNA Complex,48
35133.5,14,2Z75,1,B,DNA-RNA Hybrid,122
38966.3,14,6JDV,1,B,Protein-RNA Complex,143
84656.1,14,7OAX,1,A,Solo RNA,51
75220.1,14,7ECK,1,I+J,Solo RNA,22
17351.3,14,7QVP,1,B4,Protein-RNA Complex,76
93493.1,14,7R81,1,A1+C1,Protein-RNA Complex,3281
36843.2,14,5LZS,1,3,Protein-RNA Complex,75
29085.1,14,1N78,1,C,Protein-RNA Complex,75
04576.1,13,8EVP,1,EC,Protein-RNA Complex,192
22323.3,13,7MDZ,1,2,Protein-RNA Complex,76
12971.6,13,7P7Q,1,B,Protein-RNA Complex,114
19539.1,13,5HNJ,1,A+B,Solo RNA,14
86416.1,13,8FFI,1,C,Protein-RNA Complex,21
73165.3,13,4PRF,1,B,Protein-RNA Complex,74
54627.9,13,4A3G,1,P,Protein-RNA Complex,2
31074.2,13,4RKV,1,A,Solo RNA,6
78372.5,13,6X1B,1,D,Protein-RNA Complex,2
98632.6,13,7P7Q,1,A,Protein-RNA Complex,2897
16232.3,13,5L00,1,A+B,Solo RNA,22
01073.1,13,5NWQ,1,A,Solo RNA,40
02127.1,13,7OM7,1,H+G,Protein-RNA Complex,14
25585.3,12,4Z4D,1,B+D,Protein-RNA Complex,28
24610.3,12,7NSH,1,BA,Protein-RNA Complex,1544
