cm_end,bit_score,rfam_acc,evalue_score,cm_start,pdb_id,chain,pdb_end,pdb_start,id,description
119,100.70,RF00001,5.6e-23,1,4v4y,BB,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v5e,DB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v8o,BB,121,5,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,4v9p,EB,118,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5ndg,7,121,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,6q8y,BR,121,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,7bl6,B,118,3,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,7cpu,L7,119,1,5S_rRNA,5S ribosomal RNA
119,131.80,RF00001,4.9e-31,1,7qiz,5,119,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,8agw,h,121,1,5S_rRNA,5S ribosomal RNA
118,87.60,RF00001,1.3e-19,1,8i9r,C4,119,1,5S_rRNA,5S ribosomal RNA
115,61.70,RF00001,5.7e-13,4,4v4w,B9,108,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,5j4c,1B,119,3,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,5t2c,B,119,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5tbw,AS,121,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6om6,3,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6ore,3,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7k53,2,118,3,5S_rRNA,5S ribosomal RNA
119,98.60,RF00001,1.9e-22,1,7old,3,120,1,5S_rRNA,5S ribosomal RNA
119,88.70,RF00001,6.6e-20,1,7qh4,B,116,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7zq6,a,118,3,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.8e-15,1,2zjq,Y,120,4,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,5j4b,1B,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6wdm,2,118,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,7b7d,LB,121,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,7d80,a,117,2,5S_rRNA,5S ribosomal RNA
119,63.90,RF00001,1.5e-13,1,7p6z,4,108,1,5S_rRNA,5S ribosomal RNA
119,63.90,RF00001,1.5e-13,1,7pi8,4,108,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,8agt,h,121,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,8g5y,L7,119,1,5S_rRNA,5S ribosomal RNA
119,77.40,RF00001,5.7e-17,1,1vq6,9,121,1,5S_rRNA,5S ribosomal RNA
119,75.20,RF00001,2.1e-16,1,3ccj,9,121,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,4u4y,3,121,1,5S_rRNA,5S ribosomal RNA
119,52.20,RF00001,1.9e-10,1,5mlc,B,120,4,5S_rRNA,5S ribosomal RNA
119,60.10,RF00001,1.6e-12,1,5nd8,B,114,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,6pc7,J,117,2,5S_rRNA,5S ribosomal RNA
119,88.70,RF00001,6.6e-20,1,6ppk,B,116,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7nwt,3,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,7u2h,1B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,8cvk,2B,119,3,5S_rRNA,5S ribosomal RNA
119,75.20,RF00001,2.1e-16,1,3ccs,9,121,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,3jai,7,119,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4tub,RB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,4v8x,DB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4wr6,1J,121,5,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,4ybb,DB,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,5jte,BB,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,6q95,3,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6y69,B,118,3,5S_rRNA,5S ribosomal RNA
119,75.00,RF00001,2.3e-16,1,7asm,B,115,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,7uoo,3,121,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,8a3d,B,119,1,5S_rRNA,5S ribosomal RNA
119,79.50,RF00001,1.6e-17,1,8brm,LE,119,1,5S_rRNA,5S ribosomal RNA
119,75.20,RF00001,2.1e-16,1,3ccr,9,121,1,5S_rRNA,5S ribosomal RNA
119,75.20,RF00001,2.1e-16,1,3g6e,9,121,1,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.7e-15,1,4v4g,FA,118,2,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v5p,DB,121,5,5S_rRNA,5S ribosomal RNA
119,117.00,RF00001,3.2e-27,1,4v8p,B3,119,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,4v91,3,121,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,4v9o,CB,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4wra,1J,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4wt1,16,121,5,5S_rRNA,5S ribosomal RNA
119,77.40,RF00001,5.4e-17,1,5v93,B,114,2,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,6n8n,B,121,1,5S_rRNA,5S ribosomal RNA
